Préfixe,Bonus Dégâts (multiplicateur),Crit chance flat bonus,Achat (mutlitplacateur),Vente (multiplicateur),Dispo en %
Mauvais,"0,8","0,8","0,7","0,7","15,0"
Banal,"0,9",0,"0,9","0,9","30,0"
Bon,"1,1",1,"1,2","1,2","40,0"
Solide,"1,2",1,"2,0","2,0","25,0"
Héroïque,3,2,"3,0","3,0","10,0"
Légendaire,5,3,"5,0","5,0","5,0"
 (aucun),1,,"1,0","1,0","100,0"
Suffixe,Bonus Dégâts (multiplicateur),Crit chance flat bonus,Achat (mutlitplacateur),Vente (multiplicateur),Dispo en %
cassé,"0,8",-15,"0,2","0,2","5,0"
tordu,"0,5",-5,"0,5","0,5","10,0"
émoussé,"0,2",-2,"0,8","0,8","20,0"
aiguisé,1,1,"1,1","1,1","30,0"
travaillé,"1,2",2,"1,2","1,2","20,0"
orné,"1,3",2,"1,4","1,4","10,0"
léger,"1,2",1,"1,1","1,1","20,0"
renforcé,"1,4",1,"1,3","1,3","25,0"
blindé,"1,5",1,"1,4","1,4","10,0"
de maître,"1,6",3,"1,6","1,6","5,0"
unique,2,4,"1,8","1,8","5,0"
 (aucun),0,,"1,0","1,0","100,0"
Matériaux,Bonus Dégâts (multiplicateur),Crit chance flat bonus,Achat (mutlitplacateur),Vente (multiplicateur),Dispo en %
bois,"0,6",0,"0,5","0,5","15,0"
cuivre,"0,8",0,"0,5","0,5","25,0"
bronze,"0,9",0,"0,7","0,7","40,0"
fer,1,0,"1,0","1,0","50,0"
acier,"1,2",1,"1,2","1,2","40,0"
argent,"1,3",0,"1,3","1,3","20,0"
or,"0,8",0,"1,6","1,6","10,0"
adamante,"1,8",2,"2,0","2,0","5,0"
 (aucun),0,,"1,0","1,0","100,0"
Main,0,0,,,
{Armes à une main},Dégats (flat),Crit chance flat bonus,Achat,Vente,Dispo en %
Dague,5,15,70,35,60
Hachoir,8,10,70,35,50
Hachette,9,5,112,56,40
Hache,10,5,126,63,50
Hache d'arme,13,5,140,70,30
Bec de Corbin,8,5,140,70,10
Fléau,12,6,168,84,40
Marteau,9,5,126,63,40
Masse,12,2,140,70,30
Cimeterre,10,7,140,70,20
Epée courte,9,6,98,49,50
Epée longue,13,5,140,70,40
Sabre,10,7,140,70,30
Fleuret,9,10,98,49,30
Rapière,13,13,140,70,10
{Armes à deux mains},Dégats (flat),Crit chance flat bonus,Achat,Vente,Dispo en %
Hache à deux mains,22,5,224,112,20
Maul,18,5,210,105,10
Fléau à deux mains,21,5,196,98,20
Epée à deux mains,20,5,210,105,40
{Armes d'Hast},Dégats (flat),Crit chance flat bonus,Achat,Vente,Dispo en %
Bardiche,23,5,224,112,10
Faux de guerre,17,6,196,98,15
Hallebarde,22,5,224,112,30
Lance,12,6,98,49,50
Lance d'harçon,18,5,112,56,30
Lance de cavalerie,20,6,196,98,40
Pique,16,5,126,63,40
Trident,15,6,140,70,10
{Arme de Tir},Dégats (flat),Crit chance flat bonus,Achat,Vente,Dispo en %
Couteau de lancer,7,12,28,14,25
Hache de lancer,9,8,34,17,30
Javelot,10,7,39,20,30
Arc court,7,5,67,34,40
Arc composite,10,6,90,45,30
Arc long,11,7,101,51,40
Arc long composite,13,8,123,62,20
Arbalète,16,7,112,56,40
Arbalète lourde,18,9,157,79,30
Arbalète à répétition,15,6,78,39,20
Rabateur,9,5,90,45,50
Pistolet à silex,13,5,123,62,40
Revolver,11,6,146,73,30
Pistolet automatique,9,5,178,89,20
Fusil de chasse,14,7,203,102,40
Fusil à culasse,14,8,236,118,30
{Munitions},Dégats (flat),Crit chance flat bonus,Achat,Vente,Dispo en %
Flèches,1,0,1,0.01,100
Carreaux,2,0,2,0.5,100
9mm,6,0,3,2,50
365 magnum,7,0,5,3,40
Cal12,10,0,6,4,30
Cartouche poudre noir,15,0,7,4,40
