Préfixe,Bonus armure (multiplicateur ),Achat (mutlitplacateur),Vente (multiplicateur),Dispo en %
 (aucun),0,"1,0","1,0","15,0"
Mauvais,"0,8","0,7","0,7","30,0"
Banal,"0,9","0,9","0,9","40,0"
Bon,1,"1,2","1,2","25,0"
Solide,2,"2,0","2,0","10,0"
Héroïque,3,"3,0","3,0","5,0"
Légendaire,5,"5,0","5,0","100,0"
Suffixe,Bonus armure (multiplicateur ),Achat (mutlitplacateur),Vente (multiplicateur),Dispo en %
 (aucun),0,"1,0","1,0","5,0"
cassé,-10,"0,2","0,2","10,0"
tordu,-5,"0,5","0,5","20,0"
émoussé,-2,"0,8","0,8","30,0"
aiguisé,1,"1,1","1,1","20,0"
travaillé,2,"1,2","1,2","10,0"
orné,3,"1,4","1,4","20,0"
léger,1,"1,1","1,1","25,0"
renforcé,"1,2","1,3","1,3","10,0"
blindé,"1,3","1,4","1,4","5,0"
de maître,"1,5","1,6","1,6","5,0"
unique,"1,8","1,8","1,8","100,0"
Matériaux,Bonus armure (multiplicateur ),Achat (mutlitplacateur),Vente (multiplicateur),Dispo en %
 (aucun),0,"1,0","1,0","15,0"
bois,"0,4","0,5","0,5","25,0"
cuivre,"0,6","0,5","0,5","40,0"
bronze,"0,8","0,7","0,7","50,0"
fer,1,"1,0","1,0","40,0"
acier,"1,2","1,2","1,2","20,0"
argent,"1,3","1,3","1,3","10,0"
or,1,"1,6","1,6","5,0"
adamante,"1,5","2,0","2,0","100,0"
Peau,Armure bonus (flat),Achat (flat),Vente (flat),Dispo en %
{TORSE},0,0,0,0
Veste en cuir,1,40,10,50
Gilet de cuir,1,80,20,50
Gilet de combat,2,350,87,5
Manteau de cuir,2,160,40,50
Redingote,2,200,50,50
Gambison,2,240,60,50
Plastron cuir,3,320,80,40
Cuirasse de cuir,4,440,110,30
Cuirasse de cuir lourde,5,650,162,20
Chemise de mailles,7,700,233,30
Cotte de mailles,7,800,266,40
Haubert de mailles,7,850,283,20
Cuirasse pare-balles,6,1260,420,5
Brigandine,8,1150,383,15
Cuirasse de métal,9,1560,780,10
Armure pare-balle,8,1960,980,1
Plastron léger,11,1920,960,5
Plastron lourd,12,2040,1020,3
Armure légère,13,2520,1260,2
Armure composite,11,2520,1260,2
Armure de plate,14,2660,1330,2
S. armure légère,15,3690,1845,1
S. armure lourde,16,4300,2150,1
{TETES},Armure bonus (flat),Achat,Vente,Dispo en %
Coiffe de maille,1,100,25,40
Haume,1,120,30,40
Barbutte,2,300,75,30
Salade,3,450,"112,5",20
Morion,4,650,"162,5",20
Bassinet,5,940,235,10
Cervelière,5,1050,"262,5",8
Armet,6,1300,325,7
Tassette,6,1580,395,5
Armet lourd,7,1950,"487,5",3
{MAINS},Armure bonus (flat),Achat,Vente,Dispo en %
Gants de cuir,1,50,"12,5",50
Gants de cuir lourd,1,100,25,40
Mitaine de mailles,1,150,"37,5",30
Gants de mailles,2,240,60,20
Mitaines de plates,2,300,75,10
Gantelets,2,480,120,5
Gantelets Lourd,3,700,175,5
Gantelets complets,3,880,220,3
{EPAULES},Armure bonus (flat),Achat,Vente,Dispo en %
Ailettes,1,50,"12,5",60
Épaulières de cuir,1,100,25,50
Spalières,2,200,50,20
Epaulières de plates,2,350,"87,5",10
Epaulières complètes,3,630,"157,5",5
{JAMBES},Armure bonus (flat),Achat,Vente,Dispo en %
Pantalon de cuir,1,100,25,50
Pantalon de cuir lourd,2,200,50,40
Pantalon de mailles,3,360,90,20
Jambière,4,810,"202,5",10
Cuissarde,5,1210,"302,5",5
{PIEDS},Armure bonus (flat),Achat,Vente,Dispo
Bottes,1,60,15,50
Bottes lourdes,1,120,30,40
Rangers,2,240,60,5
Soleret,2,400,100,10
Grèves,3,710,"177,5",15
{BOUCLIER},block chance in % (flat),Achat,Vente,Dispo en %
Targe,7,80,20,50
Rondache,10,100,25,40
Ecu,13,200,50,30
Grand Bouclier,15,300,75,20
Egide,18,400,100,20
Pavois,20,500,125,15
