,,,,,,,,,
,,,,,,,,,
,,,,,,,,"Ci dessous, les valeur sont des multiplacateurs",
Préfixe,ARMt,ARMc,ARMp,Poids,Res,F req,Achat,Prix,Dispo
 ,0,0,0,0,0,,,"0,0",
Mauvais,-30% à -20%,-30% à -20%,-30% à -20%,-30% à -20%,-30% à -20%,,,-30% à -20%,
Banal,-15% à -5%,-15% à -5%,-15% à -5%,-15% à -5%,-15% à -5%,,,-15% à -5%,
Bon,1% à 15%,1% à 15%,1% à 15%,1% à 15%,1% à 15%,,,1% à 25%,
Solide,15% à 25%,15% à 25%,15% à 25%,15% à 25%,15% à 25%,,,15% à 50%,
Héroïque,25% à 50%,25% à 50%,25% à 50%,25% à 50%,25% à 50%,,,50% à  150%,
Légendaire,50% à 100%,50% à 100%,50% à 100%,50% à 100%,50% à 100%,,,100% à  200%,
Suffixe,ARMt,ARMc,ARMp,Poids,Res,F req,Achat,Vente,Dispo
  ,0,0,0,0,0,,,"0,0",
cassé,-50% à -30%,-50% à -30%,-50% à -30%,-8,-50% à -30%,,,-80%,
tordu,-30% à -20%,-30% à -20%,-30% à -20%,-5,-30% à -20%,,,-50%,
émoussé,-15% à -5%,-15% à -5%,-15% à -5%,-2,-15% à -5%,,,-20%,
aiguisé,10% à 35%,0% à 10%,10% à 35%,1,10% à 35%,,,10%,
travaillé,15% à 25%,5% à 15%,10% à 35%,2,15% à 25%,,,20%,
orné,0,0,0,-20% à 0%,0,,,30%,
léger,5% à  40%,-15% à 0%,-10% à  10%,-1,5% à  40%,,,10%,
renforcé,15% à  40%,10% à  40%,15% à  40%,4,15% à  40%,,,45%,
blindé,35% à 55%,30% à 70%,35% à 55%,5,35% à 55%,,,40%,
de maître,75% à 200%,75% à 200%,75% à 200%,6,75% à 200%,,,15% à  40%,
unique,100% à 300%,100% à 300%,100% à 300%,10,100% à 300%,,,35% à 55%,
Matériaux,TRAN,CON,PER,RES,Res,F req,Achat,Vente,Dispo
bois,-50% à -30%,-15% à -5%,-50% à -30%,-50% à -30%,-50% à -30%,,,-50%,
cuivre,-30% à -20%,-30% à -20%,-30% à -20%,-30% à -20%,-30% à -20%,,,-30%,
bronze,-15% à -5%,-15% à -5%,-15% à -5%,-15% à -5%,-15% à -5%,,,-10%,
fer,0,0,0,5,0,,,"0,0",
acier,15% à  40%,10% à  40%,15% à  40%,15% à  40%,15% à  40%,,,20%,
argent,35% à 55%,30% à 70%,35% à 55%,35% à 55%,35% à 55%,,,30%,
or,-15% à -5%,-15% à -5%,,75% à 200%,-15% à -5%,,,50%,
adamante,100% à 300%,100% à 300%,-15% à -5%,100% à 300%,100% à 300%,,,35% à 55%,
,,,,,,,,"Ci-dessous, ce sont des valeurs de prix",
Peau,ARMt,ARMc,ARMp,Poids,Res,F req,Achat,Vente,Dispo
{TORSE},0,0,0,0,0,0,0,0,0
Veste en cuir,1,0,0,,50,,40,10,100
Gilet de cuir,1,0,1,,100,,80,20,100
Gilet de combat,2,1,4,,350,20,350,87,30
Manteau de cuir,2,1,1,,200,,160,40,100
Redingote,2,1,2,,250,,200,50,100
Gambison,2,2,2,,300,,240,60,100
Plastron cuir,3,2,3,,400,15,320,80,90
Cuirasse de cuir,4,3,4,,550,15,440,110,80
Cuirasse de cuir lourde,5,4,4,,650,15,650,162,70
Chemise de mailles,7,4,3,,700,20,700,233,60
Cotte de mailles,7,5,4,,800,20,800,266,50
Haubert de mailles,7,6,4,,850,25,850,283,40
Cuirasse pare-balles,6,5,10,,1050,20,1260,420,5
Brigandine,8,7,8,,1150,30,1150,383,30
Cuirasse de métal,9,8,9,,1300,40,1560,780,20
Armure pare-balle,8,7,13,,1400,30,1960,980,1
Plastron léger,11,10,11,,1600,45,1920,960,15
Plastron lourd,12,11,11,,1700,55,2040,1020,10
Armure légère,13,11,12,,1800,60,2520,1260,2
Armure composite,11,9,16,,1800,65,2520,1260,2
Armure de plate,14,11,13,,1900,70,2660,1330,2
S. armure légère,15,12,14,,2050,80,3690,1845,1
S. armure lourde,16,12,15,,2150,80,4300,2150,1
{TETES},0,0,0,0,0,0,0,0,0
Coiffe de maille,1,1,1,,120,10,100,25,90
Haume,1,1,1,,120,25,120,30,80
Barbutte,2,1,2,,200,30,300,75,70
Salade,3,2,2,,280,30,450,"112,5",60
Morion,4,2,2,,320,20,650,"162,5",60
Bassinet,5,4,2,,440,35,940,235,50
Cervelière,5,3,3,,440,40,1050,"262,5",40
