# Allumina — Weapon System Reference
# Format: structured data for procedural weapon generation
# Version: 1.0
# ============================================================================

# ============================================================================
# SECTION 1 — DAMAGE TYPE DEFINITIONS
# ============================================================================
# Each damage type has a distinct attack pattern. A weapon with multiple
# damage types > 0 gives the player access to ALL corresponding patterns.
#
#   TRAN (Tranchant / Slashing)
#     Pattern: cone attack (cleave)
#     Good vs: unarmored, light targets
#
#   CON (Contondant / Blunt)
#     Pattern: single-target, fast attack speed
#     Good vs: armored, skeletal targets
#
#   PER (Percant / Piercing)
#     Pattern: line attack, can hit multiple targets, longer range
#     Good vs: in-line groups, ranged poke
#
#   RES (Resistance / Durability)
#     Weapon HP. Loses 1 point per hit received (block/parry).
#     When RES reaches 0, the weapon breaks.

# ============================================================================
# SECTION 2 — MODIFIER STACKING RULE
# ============================================================================
# Modifiers stack ADDITIVELY:
#   final_stat = base_value * (1.0 + material_pct + prefix_pct + suffix_pct)
#
# Example: Dague TRAN=5, material=acier(+30%), prefix=Bon(+10%), suffix=aiguise(+25%)
#   final_TRAN = 5 * (1.0 + 0.30 + 0.10 + 0.25) = 5 * 1.65 = 8.25 -> 8
#
# Values with '%' are percentages (roll within range, apply as multiplier).
# Values WITHOUT '%' are absolute (added directly to the stat).
# French decimal comma: "0,3" means 0.3

# ============================================================================
# SECTION 3 — SKILL TYPES
# ============================================================================
# Skill determines the attack system used. No prerequisite to equip.
# Having the matching skill grants bonus damage/accuracy.
#
#   atk          Melee attack (slash/thrust/smash)
#   jet          Thrown weapon (consumed on use, retrievable)
#   tir_corde    Bow (requires arrows, string-drawn)
#   tir_epaule   Shoulder-fire (crossbow, rifle)
#   tir_poing    Handgun (pistol, revolver)

# ============================================================================
# SECTION 4 — PREFIX TABLE (Quality Tier)
# ============================================================================
# Prefix modifies TRAN, CON, PER, RES as percentages. Poids/Crit are absolute.
# Roll one value within each range per stat.
#
# name,         tran_pct_min, tran_pct_max, con_pct_min, con_pct_max, per_pct_min, per_pct_max, res_pct_min, res_pct_max, poids_abs, crit_abs, prix_pct_min, prix_pct_max
[PREFIX]
(vide),         0,    0,    0,    0,    0,    0,    0,    0,    0,   0,    0,      0
Mauvais,       -30, -20,  -30, -20,  -30, -20,  -30, -20,   -2,  -1,  -30,   -20
Banal,         -15,  -5,  -15,  -5,  -15,  -5,  -15,  -5,   -1,   0,  -15,    -5
Bon,             1,  15,    1,  15,    1,  15,    1,  15,    1,   0,    1,    25
Solide,         15,  25,   15,  25,   15,  25,   15,  25,    1,   1,   15,    50
Heroique,       25,  50,   25,  50,   25,  50,   25,  50,    3,   2,   50,   150
Legendaire,     50, 100,   50, 100,   50, 100,   50, 100,    5,   3,  100,   200

# ============================================================================
# SECTION 5 — SUFFIX TABLE (Condition/Craftsmanship)
# ============================================================================
# name,         tran_pct_min, tran_pct_max, con_pct_min, con_pct_max, per_pct_min, per_pct_max, res_abs, poids_abs, crit_abs, prix_pct_min, prix_pct_max
[SUFFIX]
(vide),         0,    0,    0,    0,    0,    0,    0,   0,   0,    0,     0
casse,        -50, -30,  -50, -30,  -50, -30,   -8,   0, -15,  -80,   -80
tordu,        -30, -20,  -30, -20,  -30, -20,   -5,   0,  -5,  -50,   -50
emousse,      -15,  -5,  -15,  -5,  -15,  -5,   -2,   0,  -2,  -20,   -20
aiguise,       10,  35,    0,  10,   10,  35,    1,   0,   1,   10,    10
travaille,     15,  25,    5,  15,   10,  35,    2,   0,   2,   20,    20
orne,           0,   0,    0,   0,    0,   0,  -20,   0,   2,   30,    30
leger,          5,  40,  -15,   0,  -10,  10,   -1,  -3,   1,   10,    10
renforce,      15,  40,   10,  40,   15,  40,    4,   1,   1,   45,    45
blinde,        35,  55,   30,  70,   35,  55,    5,   1,   1,   40,    40
de_maitre,     75, 200,   75, 200,   75, 200,    6,   0,   3,   15,    40
unique,       100, 300,  100, 300,  100, 300,   10,  -1,   4,   35,    55

# NOTE on suffix "leger": poids_abs is a range -3 to -1 (roll)

# ============================================================================
# SECTION 6 — MATERIAL TABLE
# ============================================================================
# Material modifies all damage types as %. RES is absolute. Poids is %.
# name,     tran_pct_min, tran_pct_max, con_pct_min, con_pct_max, per_pct_min, per_pct_max, res_pct_min, res_pct_max, poids_pct, crit_abs, prix_pct_min, prix_pct_max
[MATERIAL]
bois,        -50, -30,  -15,  -5,  -50, -30,  -50, -30,  -20,   0,  -50,   -50
cuivre,      -30, -20,  -30, -20,  -30, -20,  -30, -20,  -10,   0,  -30,   -30
bronze,      -15,  -5,  -15,  -5,  -15,  -5,  -15,  -5,    0,   0,  -10,   -10
fer,           0,   0,    0,   0,    0,   0,    0,   0,    0,   0,    0,     0
acier,        15,  40,   10,  40,   15,  40,   15,  40,   10,   1,   20,    20
argent,       35,  55,   30,  70,   35,  55,   35,  55,  -10,   0,   30,    30
or,          -15,  -5,  -15,  -5,    0,   0,   75, 200,  -20,   2,   50,    50
adamante,    100, 300,  100, 300,  -15,  -5,  100, 300,  -10,   4,   35,    55

# NOTE: fer (iron) is the zero-modifier baseline.
# NOTE: or (gold) has NO piercing modifier (0%), bad damage but very high RES.
# NOTE: adamante has weak PER but extreme TRAN/CON/RES.

# ============================================================================
# SECTION 7 — BASE WEAPONS
# ============================================================================
# All values are absolute base stats BEFORE modifiers.
# Empty damage cells = 0 for that damage type.
# Poids uses French decimal (0,3 = 0.3).
# F_req: "-" means no Force requirement.
# Dispo: availability weight (0-100) for procedural generation.
#
# Fields: name, tran, con, per, res, poids, crit, f_req, buy, sell, dispo, skill

[ONE_HAND]
Dague,              5,  0,  7, 70, 0.3, 15,  0,  70,  35, 100, atk
Hachoir,            8,  0,  0, 65, 0.6, 10,  0,  70,  35,  90, atk
Hachette,           9,  0,  0, 75, 0.9,  5,  0, 112,  56,  90, atk
Hache,             10,  0,  0, 75, 1.0,  5,  0, 126,  63,  95, atk
Hache_d_arme,      13,  0,  0, 80, 2.0,  5, 20, 140,  70,  80, atk
Bec_de_Corbin,      0,  8, 11, 80, 1.2,  5,  0, 140,  70,  60, atk
Fleau,              0, 12,  0, 90, 2.0,  6,  0, 168,  84,  80, atk
Marteau,            0,  9,  0, 70, 1.0,  5,  0, 126,  63,  90, atk
Masse,              0, 12,  0, 80, 2.0,  2, 15, 140,  70,  80, atk
Cimeterre,         10,  0,  0, 75, 1.0,  7, 20, 140,  70,  70, atk
Epee_courte,        9,  0,  8, 75, 1.0,  6, 15,  98,  49, 100, atk
Epee_longue,       13,  7, 10, 80, 1.5,  5, 20, 140,  70,  90, atk
Sabre,             10,  0,  8, 80, 1.0,  7, 20, 140,  70,  80, atk
Fleuret,            7,  0,  9, 60, 0.7, 10,  0,  98,  49,  80, atk
Rapiere,           11,  0, 13, 65, 0.8, 13,  0, 140,  70,  60, atk

[TWO_HAND]
Hache_2m,          22,  0,  0, 83, 3.0,  5, 35, 224, 112,  70, atk
Maul,               0, 18,  0, 83, 3.3,  5, 40, 210, 105,  50, atk
Fleau_2m,           0, 21,  0, 85, 3.6,  5, 30, 196,  98,  50, atk
Epee_2m,           20, 13,  0, 84, 3.0,  5, 30, 210, 105,  75, atk

[POLEARM]
Bardiche,          23,  4,  0, 80, 3.0,  5, 25, 224, 112,  60, atk
Faux_de_guerre,    17,  4,  0, 80, 2.8,  6, 15, 196,  98,  40, atk
Hallebarde,        22,  4, 18, 84, 4.0,  5, 30, 224, 112,  60, atk
Lance,              0,  3, 12, 65, 1.0,  6,  0,  98,  49, 100, atk
Lance_d_harcon,     0,  0, 18, 70, 1.3,  5, 20, 112,  56,  80, atk
Lance_cavalerie,    0,  0, 20, 75, 2.0,  6, 30, 196,  98,  85, atk
Pique,              0,  0, 16, 62, 1.8,  5, 15, 126,  63,  90, atk
Trident,            0,  0, 15, 70, 1.9,  6, 15, 140,  70,  40, atk

[RANGED]
Couteau_lancer,     0,  0,  7, 80, 0.4, 12,  0,  28,  14,  75, jet
Hache_lancer,       9,  0,  0, 70, 1.0,  8,  0,  34,  17,  60, jet
Javelot,            0,  0, 10, 70, 0.5,  7,  0,  39,  20,  70, jet
Arc_court,          0,  0,  7, 60, 0.6,  5,  0,  67,  34,  90, tir_corde
Arc_composite,      0,  0, 10, 63, 0.7,  6,  0,  90,  45,  60, tir_corde
Arc_long,           0,  0, 11, 65, 0.8,  7, 15, 101,  51,  68, tir_corde
Arc_long_composite, 0,  0, 13, 68, 0.9,  8, 20, 123,  62,  50, tir_corde
Arbalete,           0,  0, 16, 70, 2.0,  7, 15, 112,  56,  70, tir_epaule
Arbalete_lourde,    0,  0, 18, 74, 2.5,  9, 20, 157,  79,  65, tir_epaule
Arbalete_repetition,0,  0, 15, 67, 2.1,  6, 15,  78,  39,  30, tir_epaule
Rabateur,           0,  4,  9, 90, 0.9,  5,  0,  90,  45,  90, tir_poing
Pistolet_silex,     0,  5, 13, 90, 0.8,  5,  0, 123,  62,  80, tir_poing
Revolver,           0,  5, 11, 90, 1.0,  6,  0, 146,  73,  60, tir_poing
Pistolet_auto,      0,  4,  9, 90, 0.9,  5,  0, 178,  89,  40, tir_poing
Fusil_chasse,       0,  7, 14, 90, 1.3,  7,  0, 203, 102,  70, tir_epaule
Fusil_culasse,      0,  7, 14, 90, 1.3,  8,  0, 236, 118,  50, tir_epaule

[AMMO]
# Ammo adds PER damage to the ranged weapon's base. No modifiers apply.
# name, per, buy, sell, dispo
Fleches,                1,  1,   0, 100
Carreaux,               2,  2,   1, 100
9mm,                    6,  3,   2,  70
365_magnum,             7,  5,   3,  60
Cal12,                 10,  6,   4,  50
Cartouche_poudre_noir, 15,  7,   4,  70

# ============================================================================
# SECTION 8 — PROCEDURAL GENERATION ALGORITHM
# ============================================================================
# 1. Pick weapon category weighted by context (shop tier, monster drop, chest)
# 2. Pick base weapon within category, weighted by Dispo
# 3. Roll material (weighted by Dispo column in material table)
# 4. Roll prefix (weighted by rarity: vide=40, Mauvais=5, Banal=20, Bon=20, Solide=10, Heroique=4, Legendaire=1)
# 5. Roll suffix (weighted by rarity: vide=30, casse=3, tordu=5, emousse=10, aiguise=15, travaille=10, orne=8, leger=10, renforce=5, blinde=3, de_maitre=2, unique=1)
# 6. Compute final stats:
#      For TRAN/CON/PER: final = round(base * (1.0 + mat_pct + prefix_pct + suffix_pct))
#      For RES: base_res + material_res_pct_applied + suffix_res_abs
#      For Poids: base_poids * (1.0 + mat_poids_pct) + prefix_poids_abs + suffix_poids_abs
#      For Crit: base_crit + mat_crit_abs + prefix_crit_abs + suffix_crit_abs
#      For F_req: base_f_req + prefix_f_req_abs (if any)
#      For Buy/Sell: base * (1.0 + mat_prix_pct + prefix_prix_pct + suffix_prix_pct)
# 7. Clamp: all damage >= 0, RES >= 1, Poids >= 0.1, Crit >= 0
#
# Generated weapon name format:
#   "[Prefix] [Base] [Suffix] en [Material]"
#   Example: "Heroique Epee longue aiguisee en acier"
#   If prefix/suffix is (vide), omit it.
#   If material is fer (baseline), omit "en fer".
